solution_id,S,objective,seeds,mean_coverage,sd_coverage,q90_mean,q90_sd
formal-run-01-CCP30-solution-0028,100,makespan,10,0.8913799999999998,0.01735907063564558,563.5783815484867,7.905821597758463
formal-run-01-CCP30-solution-0028,300,cost,10,0.89916,0.014016117706253587,11951564.083090235,25392.38512301694
formal-run-01-CCP30-solution-0028,300,emission,10,0.8939000000000001,0.016035031095143613,9983113913.134457,1052415.6546029283
formal-run-01-CCP30-solution-0028,300,makespan,10,0.90588,0.013436004697164338,569.5547390290742,4.1624772011129805
formal-run-01-CCP30-solution-0029,30,cost,10,0.8716799999999999,0.06718314603463515,12311345.337725576,127232.63469997719
formal-run-01-CCP30-solution-0029,30,emission,10,0.87316,0.03825584051270254,9516345398.707048,2261015.5357084074
formal-run-01-CCP30-solution-0029,30,makespan,10,0.8826600000000001,0.04247969972691529,567.0517085860754,12.379240906266883
formal-run-01-CCP30-solution-0029,100,cost,10,0.89108,0.025032281380471734,12328392.147077149,55073.28054439811
formal-run-01-CCP30-solution-0029,100,emission,10,0.88728,0.018522826758114196,9517065287.836796,1254332.7973397118
formal-run-01-CCP30-solution-0029,100,makespan,10,0.8939600000000001,0.022043351227373137,571.4402760738965,6.378601941420244
formal-run-01-CCP30-solution-0029,300,cost,10,0.8980400000000002,0.01819787533385883,12340617.445037095,41617.68407983072
formal-run-01-CCP30-solution-0029,300,emission,10,0.8920600000000001,0.012232942773057072,9517383172.458517,843919.9960441581
formal-run-01-CCP30-solution-0029,300,makespan,10,0.9058999999999999,0.013084087027123206,574.9943277959023,3.040986964252622
formal-run-01-CCP30-solution-0032,30,cost,10,0.88264,0.06146657989870953,12111465.591872202,125254.10295707629
formal-run-01-CCP30-solution-0032,30,emission,10,0.8732200000000001,0.040224199460302784,10213940001.562565,2280199.4203301896
formal-run-01-CCP30-solution-0032,30,makespan,10,0.8777999999999999,0.05071208490641609,554.1969403312363,19.733439623910048
formal-run-01-CCP30-solution-0032,100,cost,10,0.8930999999999999,0.028851689725213653,12111255.581233587,53724.120251881286
formal-run-01-CCP30-solution-0032,100,emission,10,0.8871799999999999,0.025949771996429293,10214699755.217323,1594352.331403734
