solution_id,decision_fingerprint,role,seed,S,objective,q90_reestimate,q90_oos,signed_error,signed_error_pct,coverage,exceedance,coverage_gap_pp,absolute_coverage_gap_pp
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,30,makespan,574.3256192690226,572.412897748526,1.912721520496575,0.3341506678168662,0.9176,0.08240000000000003,1.759999999999995,1.759999999999995
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,100,cost,12159697.726080175,12169563.77421095,-9866.04813077487,-0.08107150193569337,0.8952,0.1048,-0.48000000000000265,0.48000000000000265
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,100,emission,9412998890.364847,9412862064.804533,136825.56031417847,0.0014536020964949707,0.9016,0.09840000000000004,0.15999999999999348,0.15999999999999348
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,100,makespan,571.5661301251033,572.412897748526,-0.8467676234226928,-0.14792951499752843,0.8832,0.11680000000000001,-1.6800000000000037,1.6800000000000037
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,300,cost,12202691.244953223,12169563.77421095,33127.47074227221,0.27221576185396285,0.9146,0.08540000000000003,1.4599999999999946,1.4599999999999946
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,300,emission,9411719965.3438,9412862064.804533,-1142099.4607334137,-0.012133392084898574,0.8836,0.11639999999999995,-1.639999999999997,1.639999999999997
formal-run-01-CCP30-solution-0241,f5a4713d49e3f26c1869aa9e3922efe7e0b14808d9316f0a858ea14758de6b51,independent_reestimate,940008,300,makespan,572.1190525901847,572.412897748526,-0.2938451583413553,-0.05133447542798872,0.8944,0.10560000000000003,-0.5600000000000049,0.5600000000000049
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,30,cost,11824513.140505737,11950194.964135313,-125681.82362957671,-1.0517135829730853,0.795,0.20499999999999996,-10.499999999999998,10.499999999999998
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,30,emission,9793392911.476973,9793745549.611135,-352638.13416290283,-0.0036006462734464698,0.8948,0.10519999999999996,-0.5199999999999982,0.5199999999999982
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,30,makespan,575.9158357333995,572.8550476120045,3.060788121395035,0.5343041200656594,0.9418,0.05820000000000003,4.179999999999994,4.179999999999994
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,100,cost,11907832.612995243,11950194.964135313,-42362.35114007071,-0.3544908787447213,0.8714,0.12860000000000005,-2.860000000000007,2.860000000000007
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,100,emission,9794890894.633394,9793745549.611135,1145345.0222587585,0.01169465774311683,0.92,0.07999999999999996,2.0000000000000018,2.0000000000000018
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,100,makespan,572.8449597953999,572.8550476120045,-0.0100878166045959,-0.0017609719328908478,0.8998,0.10019999999999996,-0.019999999999997797,0.019999999999997797
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,300,cost,11947304.645080356,11950194.964135313,-2890.3190549574792,-0.024186375733884234,0.899,0.10099999999999998,-0.10000000000000009,0.10000000000000009
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,300,emission,9792525605.979084,9793745549.611135,-1219943.632051468,-0.01245635416880834,0.8816,0.11839999999999995,-1.8399999999999972,1.8399999999999972
formal-run-01-CCP30-solution-0242,edd238644efad266f4ae1eed2846f92cd017e85ac450f97c13871b35d89e0ef7,independent_reestimate,940008,300,makespan,573.1566143152753,572.8550476120045,0.30156670327085067,0.05264275919850186,0.9128,0.08720000000000006,1.2799999999999923,1.2799999999999923
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,30,cost,12032671.143876411,12168422.408843042,-135751.2649666313,-1.1156028317029665,0.8078,0.19220000000000004,-9.220000000000006,9.220000000000006
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,30,emission,9551474197.268301,9551545911.58964,-71714.32133865356,-0.0007508137635776524,0.8984,0.10160000000000002,-0.16000000000000458,0.16000000000000458
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,30,makespan,578.7479769913325,576.3566412774876,2.39133571384491,0.4149055537114213,0.913,0.08699999999999997,1.3000000000000012,1.3000000000000012
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,100,cost,12160538.269747918,12168422.408843042,-7884.139095123857,-0.0647917933009483,0.894,0.10599999999999998,-0.6000000000000005,0.6000000000000005
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,100,emission,9551335315.545046,9551545911.58964,-210596.04459381104,-0.0022048372749617247,0.8968,0.10319999999999996,-0.31999999999999806,0.31999999999999806
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,100,makespan,572.3233779204103,576.3566412774876,-4.033263357077317,-0.6997860470797451,0.8838,0.11619999999999997,-1.6199999999999992,1.6199999999999992
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,300,cost,12194968.775152406,12168422.408843042,26546.366309363395,0.2181578303040467,0.9134,0.08660000000000001,1.3399999999999967,1.3399999999999967
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,300,emission,9550450176.074331,9551545911.58964,-1095735.5153083801,-0.011471813311171319,0.8828,0.11719999999999997,-1.7199999999999993,1.7199999999999993
formal-run-01-CCP30-solution-0243,09cd15850fb84449f5b84483cfff22569e3493280a26f574ecf54c0cc0f5a96a,independent_reestimate,940008,300,makespan,574.4706694227891,576.3566412774876,-1.8859718546984823,-0.3272230628796518,0.8904,0.10960000000000003,-0.9600000000000053,0.9600000000000053
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,30,cost,12034536.782366473,12148648.164456272,-114111.38208979927,-0.9392928377303654,0.8336,0.1664,-6.6400000000000015,6.6400000000000015
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,30,emission,9793710836.439047,9793860284.831709,-149448.39266204834,-0.0015259396021148812,0.8978,0.10219999999999996,-0.21999999999999797,0.21999999999999797
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,30,makespan,572.9010884768152,571.6268855032614,1.2742029735537699,0.22290816017723855,0.9266,0.07340000000000002,2.6599999999999957,2.6599999999999957
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,100,cost,12117438.822386632,12148648.164456272,-31209.342069640756,-0.2568955956840616,0.8808,0.11919999999999997,-1.9199999999999995,1.9199999999999995
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,100,emission,9793815501.611841,9793860284.831709,-44783.2198677063,-0.0004572581042131522,0.8994,0.10060000000000002,-0.060000000000004494,0.060000000000004494
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,100,makespan,571.5661301251033,571.6268855032614,-0.060755378158091844,-0.010628502559777729,0.8988,0.10119999999999996,-0.11999999999999789,0.11999999999999789
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,300,cost,12189891.602382619,12148648.164456272,41243.437926346436,0.33948993639484776,0.92,0.07999999999999996,2.0000000000000018,2.0000000000000018
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,300,emission,9792717016.508648,9793860284.831709,-1143268.3230609894,-0.01167331664748814,0.8812,0.11880000000000002,-1.880000000000004,1.880000000000004
formal-run-01-CCP30-solution-0244,2d48c9a4a6d0fa4c51c5b2c078821894dd0bf92c60ac2814902a5b0cab59ba75,independent_reestimate,940008,300,makespan,571.5661301251033,571.6268855032614,-0.060755378158091844,-0.010628502559777729,0.8988,0.10119999999999996,-0.11999999999999789,0.11999999999999789
