scope,run_id,method,comparison,candidate_count,cost_signed_pct_delta_mean,cost_signed_pct_delta_median,cost_signed_pct_delta_sd,cost_absolute_percentage_error_mean,cost_absolute_percentage_error_median,cost_absolute_percentage_error_sd,makespan_signed_pct_delta_mean,makespan_signed_pct_delta_median,makespan_signed_pct_delta_sd,makespan_absolute_percentage_error_mean,makespan_absolute_percentage_error_median,makespan_absolute_percentage_error_sd,emission_signed_pct_delta_mean,emission_signed_pct_delta_median,emission_signed_pct_delta_sd,emission_absolute_percentage_error_mean,emission_absolute_percentage_error_median,emission_absolute_percentage_error_sd
run,24,EV,training direct-expected-input vs OOS mean,277,1.2041974032841785,1.196507008101303,0.0763362393607132,1.2041974032841785,1.196507008101303,0.0763362393607132,15.244966211451176,15.613530895636565,1.8256180686817547,15.244966211451176,15.613530895636565,1.8256180686817547,7.488371910087944e-16,0.0,1.7046306231313638e-14,1.3156566296948147e-14,1.8915680910374428e-14,1.0835910281020558e-14
run,24,CCP30,training q90 vs OOS q90,233,1.457623431149559,1.4789960420376453,0.1504757536954856,1.457623431149559,1.4789960420376453,0.1504757536954856,6.701359524989436,8.751323412841021,3.596917981220345,6.702546080284784,8.751323412841021,3.5946969183339585,0.0,0.0,0.0,0.0,0.0,0.0
run,25,EV,training direct-expected-input vs OOS mean,259,1.211605715866555,1.1055060931418967,0.19160256515055504,1.211605715866555,1.1055060931418967,0.19160256515055504,14.2121898503527,14.382459165835755,1.5033742016563134,14.2121898503527,14.382459165835755,1.5033742016563134,-1.0577191489263709e-15,0.0,1.4858984868264563e-14,1.0494158470254586e-14,1.7886458147875423e-14,1.0552645411992472e-14
run,25,CCP30,training q90 vs OOS q90,271,1.001793980145842,1.0186608794193495,0.14576455378892894,1.001793980145842,1.0186608794193495,0.14576455378892894,4.858693574442105,4.898665185882918,1.7363486424075991,4.8647697155310015,4.898665185882918,1.719187789088286,0.0,0.0,0.0,0.0,0.0,0.0
run,26,EV,training direct-expected-input vs OOS mean,283,1.2177082838192663,1.304849700880787,0.20414089107002883,1.2177082838192663,1.304849700880787,0.20414089107002883,16.466927064455277,16.52294333933012,1.246343404450627,16.466927064455277,16.52294333933012,1.246343404450627,-1.3716406767690863e-15,0.0,1.5232950937178898e-14,1.1181731222367323e-14,1.7943409618470136e-14,1.0414239201902435e-14
run,26,CCP30,training q90 vs OOS q90,259,1.3349412794685283,1.279894726512991,0.3916829682958995,1.3349412794685283,1.279894726512991,0.3916829682958995,8.707416603558496,8.636439168966561,1.2858160542804256,8.707416603558496,8.636439168966561,1.2858160542804256,0.0,0.0,0.0,0.0,0.0,0.0
run,27,EV,training direct-expected-input vs OOS mean,265,1.3801676048413283,1.3966113062056178,0.1425794421474297,1.3801676048413283,1.3966113062056178,0.1425794421474297,16.700693106451922,16.944288683430045,1.2913194043149265,16.700693106451922,16.944288683430045,1.2913194043149265,1.16684228653527e-15,0.0,1.5503828062577908e-14,1.0856062596912237e-14,1.9211354216367908e-14,1.1110123791247427e-14
run,27,CCP30,training q90 vs OOS q90,273,1.1549797099789807,1.2016144651521232,0.2532632609648859,1.1549797099789807,1.2016144651521232,0.2532632609648859,6.9799287829064385,7.252605363217334,2.0724615730501177,6.9799287829064385,7.252605363217334,2.0724615730501177,0.0,0.0,0.0,0.0,0.0,0.0
run,28,EV,training direct-expected-input vs OOS mean,275,1.0344906292313105,0.9813205229280096,0.1209862715696895,1.0344906292313105,0.9813205229280096,0.1209862715696895,15.213218107987947,15.77706652408426,1.8888804759006321,15.213218107987947,15.77706652408426,1.8888804759006321,4.43417079686191e-16,0.0,1.5512921752005875e-14,1.0706437420696678e-14,1.633179258191217e-14,1.1216145759146361e-14
run,28,CCP30,training q90 vs OOS q90,267,0.7393472152910618,0.7319293094369512,0.3973746778015924,0.7393472152910618,0.7319293094369512,0.3973746778015924,4.612061051495262,5.563463748935888,3.131485614767608,4.682259764241739,5.563463748935888,3.0251115650909335,0.0,0.0,0.0,0.0,0.0,0.0
