method,run_id,source_solution_id,decision_fingerprint,oos_mean_cost,oos_mean_emission,oos_mean_makespan,oos_q90_cost,oos_q90_emission,oos_q90_makespan,global_oos_mean_nondominated,global_oos_q90_nondominated
CCP30,21,formal-run-21-CCP30-solution-0175,b78dac5c4fcfaf58603e28509045fbc5b8529c08c63ae5538941b72705930a44,11965663.008570869,9542407073.848892,527.3201318868923,12260452.50301108,9542407073.848892,582.772422485043,false,false
CCP30,21,formal-run-21-CCP30-solution-0176,6a48cf40a98cf0ca1a2b97a46d118fe8611fc8adbf938b0aa4066cf90470ecfe,11893515.38764703,9644818757.98,531.1211196788449,12161036.446850209,9644818757.980001,576.1757936358547,false,false
CCP30,21,formal-run-21-CCP30-solution-0178,930edcf4106a3a8b6922cd41dc2bbaab55d85704561cc25f6dabb130c7daf4c9,11922333.297019616,10422364433.433672,518.046924155277,12173488.868270386,10422364433.433674,572.816547709272,false,false
CCP30,21,formal-run-21-CCP30-solution-0179,ef81169234166d3bf9fdbfae0f958e869091913447ed49672eaecd6ed5e5e093,12087063.44413845,10132068428.23667,517.1894856637545,12387135.981283162,10132068428.23667,573.0963332211452,false,false
CCP30,21,formal-run-21-CCP30-solution-0181,33413fb0c74fac447a73d88c8fdce38dd02be95a53e8061322e9edfe0a191e61,11985229.908373727,10558710895.949999,506.6947821645357,12253685.994285489,10558710895.95,572.1298381680363,false,false
CCP30,21,formal-run-21-CCP30-solution-0182,14098c3ccf4b7a7f748b0a91fb955518676c8508196f4a821a41ce739a390d8a,11853798.51543032,9825688155.518524,519.160900214969,12114429.003922595,9825688155.51852,573.0450068387973,false,false
CCP30,21,formal-run-21-CCP30-solution-0184,05bef63efc0a9d6ce51589f17b3c83c071da87e93b618f609df6e5b4fb6815a4,11858996.690393984,9748418296.218891,522.8941645274901,12130124.497814007,9748418296.218893,573.9812321424081,false,false
CCP30,21,formal-run-21-CCP30-solution-0185,fdf055f65b11c9081436cecb7cac73ce4243a3b88d8e59e99fdc9e75805feea0,11891017.389410986,10076685194.473335,523.2307772904501,12152685.704340337,10076685194.473335,573.5848637075121,false,false
CCP30,21,formal-run-21-CCP30-solution-0186,1771e1786d4496e590d40240ce190dd4fe32c24d390c4ba236e8f43f1d2b7d25,12055737.65033161,9983034234.616673,517.4308046377466,12392667.341604745,9983034234.61667,573.1521209019072,false,false
CCP30,21,formal-run-21-CCP30-solution-0188,e60b9306b4bc16692c603317a5fd8f69ed985f783b16864a5e2414506be31567,12098303.23900056,10154796433.552475,517.1911723815246,12404374.441359783,10154796433.552475,573.1081549472487,false,false
CCP30,21,formal-run-21-CCP30-solution-0189,a8df6be6b5e8f33b908327c1e0100c09feb90274e38df8b6ca9e8188b8300345,11966884.346546337,10300562328.117006,506.70544919621653,12243050.655750567,10300562328.117006,572.1875872956105,false,false
CCP30,21,formal-run-21-CCP30-solution-0190,d1300e0c738589fb449e5e75bae1b013bec2ac26ea55391651b3827475ed653a,12179538.785534179,9963867730.886671,525.1121827716322,12546227.483927716,9963867730.886671,608.2256206833019,false,false
CCP30,21,formal-run-21-CCP30-solution-0191,78d7c0e15ec2f381d4c9d2fb977cadc6ea323fd4d65e73e8a1ec58c87d7b6529,11945667.05836546,10688049110.349138,511.85975802792854,12207433.541983245,10688049110.349138,575.8048804072067,false,false
CCP30,21,formal-run-21-CCP30-solution-0192,8f79c7e48e6b603f511d559c5179d7d56c1c818ef9a03bfdb17e5cd658b2b9f4,11960354.237113466,10599794359.11,507.2111692305486,12227940.549694048,10599794359.11,572.1504864533226,false,false
CCP30,21,formal-run-21-CCP30-solution-0193,1bf9e31e1d28d7255a4af9a5788e6b346316a964e1e8842b4cbd62fe0a26aad7,11990206.830640046,10309535185.003338,519.9958073667844,12285537.636204585,10309535185.003336,579.2244095931261,false,false
CCP30,21,formal-run-21-CCP30-solution-0194,3c2cee992e9406ab180968e1155b7fc359bd53ef71af8f9db59939458e05a7b1,12040057.537900195,10166948391.216671,518.8293670392101,12369773.109653516,10166948391.216671,579.6435453491653,false,false
CCP30,21,formal-run-21-CCP30-solution-0195,744d2e7fe59d217df0781536b6414f7317493dba26a53561f6d0a03eeec1ad1e,12091368.664854417,9858391068.11,523.172641721122,12433140.818829631,9858391068.110003,580.7970864034133,false,false
CCP30,21,formal-run-21-CCP30-solution-0196,45703847f35705ae4013919050d7d7bc84aae1198fc9358f5c58631775020538,11961756.399094375,10590877527.795805,509.9916152912214,12224699.068847055,10590877527.795805,572.3724757392375,false,false
CCP30,21,formal-run-21-CCP30-solution-0197,e9cd40e0edc4b2ff2ca7ae22604c6117f7c0891339f2fe4726b65e011ec9bdb9,12020996.495743368,9751041401.37,521.8707597627676,12352294.997384276,9751041401.370003,574.6031588098388,false,false
CCP30,21,formal-run-21-CCP30-solution-0199,b120e7d9b6b62e02dbf23198fa68f4a1c63fd8a138342b37b3f05eea293bfcdf,12043617.50791726,9603967445.980007,523.8248488655191,12369112.380664878,9603967445.980003,574.3647215014194,false,false
CCP30,21,formal-run-21-CCP30-solution-0201,719ee5062d7cd153416ff2da178da07caf43dc9a9fe1d7d77b81d45e8f44786d,11835057.195847958,9873682774.148521,517.6834930259461,12092461.417066913,9873682774.148521,573.1504669168033,false,false
CCP30,21,formal-run-21-CCP30-solution-0202,7b8818e4438ad88bebf7113f5198fad179d6b3b07e4f7402188182580697429b,12021703.731702544,10043754011.010006,518.7042691903913,12353609.28398827,10043754011.010004,573.030478501348,false,false
CCP30,21,formal-run-21-CCP30-solution-0203,f48af14525a734d3f6cc8f8bfc55b3e520da4aa233366a73d97fab8ba177aceb,11992708.827369567,9494529141.94,535.1395577589452,12282667.997857522,9494529141.94,582.772422485043,false,false
CCP30,21,formal-run-21-CCP30-solution-0204,41d816665497fcf6169b6517ab166b9a2b75ccf6eb846a4ddb5138812db99c49,12170682.382447781,10400911990.706665,508.8100060557002,12441240.06177153,10400911990.706667,572.5300428208465,false,false
